Record as mm/dd/yy,Record as military time in hh:mm. ex: 7 am is 07:00 and 7 pm is 19:00, Drop down list provided,Type same name as variety as well as date no space. Date goes yy/mm/dd So example SharkShock181210.,Record the Status of the Harvest Sample (Active or Complete),Enter your badge number, Record without % and two decimal places. So 15.32% is just 15.32 and 0 is 0.00. Variance is 10- or + actual reading.  10% is = to 0 variance,Record without % and two decimal places. So 46.32% is just 46.32 and 0 is 0.00.,Record the # of days in the dry room as of the sample date.,if N/A just record as 0.,Always with two decimal places and no g. So 1 g is recorded as 1.00. or .5 g is 0.50,Always with two decimal places and no g. So 1 g is recorded as 1.00. or .5 g is 0.50,Record in celsius,Record in seconds,Always with two decimal places and no g. So 1 g is recorded as 1.00. or .5 g is 0.50,"If there is an issue, select the issue category ",Select the issue type within the category,Record any necessary notes or comments
DATE,TIME ,VARIETY,HARVEST BATCH ID,Moisture Status,EMPLOYEE BADGE #,VARIANCE FROM TARGET ,MOISTURE ,DAYS IN DRY ,DAYS IN CURE ,STARTING WEIGHT ,ENDING WEIGHT ,TESTING TEMP ,TESTING DURATION,WASTE WEIGHT ,ISSUE CATEGORY ,ISSUE TYPE ,Notes/Comments 
2/12/2019,,Northern Lights,NorthernLights190211,Active,470,,,1,0,0,,,,,,,
2/12/2019,,Grape Lime Ricky,GrapeRicky190211,Active,470,,,1,0,0,,,,,,,
2/12/2019,,Qush #12,Qush#12190211,Active,470,,,1,0,0,,,,,,,
2/12/2019,,Locomotion #6,Locomotion#6190211,Active,470,,,1,0,0,,,,,,,
2/12/2019,,Purple Apollo,PurpleApollo190211,Active,470,,,1,0,0,,,,,,,
2/12/2019,10:52,Space Candy,SpaceCandy190129,Complete,470,-0.2,9.8,6,8,1.01,0.9,120,7:45,1.01,None,,
2/12/2019,11:02,Northern Lights,NorthernLights190128,Complete,470,-0.32,9.68,7,8,1.47,1.28,120,7:34,1.47,None,,
2/12/2019,11:13,Shark Shock,SharkShock190128,Active,470,0.38,10.38,7,8,1.29,1.17,120,9:17,1.29,None,,
2/12/2019,11:23,ACDC,ACDC190128,Active,470,-0.55,9.45,7,8,1.19,1.07,120,6:35,1.19,None,,
2/12/2019,11:31,Chem OG,ChemOG190128,Active,470,-0.53,9.47,7,8,1.28,1.06,120,7:07,1.28,None,,
2/12/2019,11:42,Jilly Bean,JillyBean190128,Active,470,0.19,10.19,11,3,1.15,1.07,120,7:12,1.15,None,,
2/12/2019,11:50,Cosmic Glue,CosmicGlue190129,Active,470,0.05,10.05,11,3,1.35,1.27,120,7:41,1.35,None,,
2/12/2019,11:59,Jesus OG,JesusOG190129 ,Active,470,-1.81,8.19,11,3,1.42,1.28,120,6:27,1.42,None,,Blue - TRABIN
2/12/2019,12:09,Jesus OG,JesusOG190129 ,Active,470,0.33,10.33,11,3,1.17,0.99,120,7:33,1.17,None,,Orange - SPORE
2/12/2019,12:17,Jesus OG,JesusOG190129 ,Active,470,0.14,10.14,11,3,1.25,1.12,120,7:38,1.25,None,,Yellow - TRIFECTA
